name,url,description,found_by
cypherkunp/ai,https://github.com/cypherkunp/ai,ai.devvrat.cc,cursor_config: filename:.cursorignore
jmlweb/file-picker-demo,https://github.com/jmlweb/file-picker-demo,File Picker Demo,cursor_config: filename:.cursorignore
zecrocks/hosh,https://github.com/zecrocks/hosh,,cursor_config: filename:.cursorignore
nosnakeob/rust-openchat-bot,https://github.com/nosnakeob/rust-openchat-bot,candle openchat bot,cursor_config: filename:.cursorignore
wangxj03/code-splitter,https://github.com/wangxj03/code-splitter,Split code into semantic chunks,cursor_config: filename:.cursorignore
Sasorishi/LessonSnap,https://github.com/Sasorishi/LessonSnap,LessonSummarizer is an AI-driven tool designed to efficiently summarize course materials and lessons. The application is built using Next.js for the front-end and Python for the back-end.,cursor_config: filename:.cursorignore
james-see/ragtag4,https://github.com/james-see/ragtag4,example RAG with pgvector postgres and llama3.1 and ollama and golang for screenplay chatting!,cursor_config: filename:.cursorignore
i-dot-ai/scout,https://github.com/i-dot-ai/scout,Generative AI tool for the Infrastructure & Projects Authority to analyse their projects against specified criteria.,cursor_config: filename:.cursorignore
BodhiSearch/BodhiApp,https://github.com/BodhiSearch/BodhiApp,Run Open Source/Open Weight LLMs locally with OpenAI compatible APIs,cursor_config: filename:.cursorignore
plan-net/kodosumi-vibe-template,https://github.com/plan-net/kodosumi-vibe-template,A template which makes it easier to start vibe coding Agentic Services in Cursor with Kodosumi,cursor_config: filename:.cursorignore
GenerativeAgents/middleman-sdk,https://github.com/GenerativeAgents/middleman-sdk,,cursor_config: filename:.cursorignore
vrijsinghani/neuralami-control,https://github.com/vrijsinghani/neuralami-control,Neuralami Control Center for managing digital marketing clients,cursor_config: filename:.cursorignore
tkloetzk/mealplanner,https://github.com/tkloetzk/mealplanner,,cursor_config: filename:.cursorignore
T1nker-1220/nichols-wed-blog,https://github.com/T1nker-1220/nichols-wed-blog,,cursor_config: filename:.cursorignore
hormones/cf-paste,https://github.com/hormones/cf-paste,,cursor_config: filename:.cursorignore
3mdistal/meal-planner,https://github.com/3mdistal/meal-planner,,cursor_config: filename:.cursorignore
MA-FS/PMV-HV-Switching-Programs,https://github.com/MA-FS/PMV-HV-Switching-Programs,HV Switching Program Generator,cursor_config: filename:.cursorignore
yukinakai/book-clip-app,https://github.com/yukinakai/book-clip-app,,cursor_config: filename:.cursorignore
KspTooi/AetherCraft,https://github.com/KspTooi/AetherCraft,AetherCraft是一个基于SpringBoot 3.4.1开发的AI模型聊天和管理平台，提供了多模型聊天、用户权限控制等功能。,cursor_config: filename:.cursorignore
Eric-meiyan/Everypic,https://github.com/Eric-meiyan/Everypic,,cursor_config: filename:.cursorignore
that-in-rust/vscode-lumos,https://github.com/that-in-rust/vscode-lumos,"A vs code extension that highlights Java, Rust code blocks in text files",cursor_config: filename:.cursorignore
PawanAK/TeleGage_LandingPage,https://github.com/PawanAK/TeleGage_LandingPage,,cursor_config: filename:.cursorignore
daytimedrinkingclub/bhaipaisedede,https://github.com/daytimedrinkingclub/bhaipaisedede,,cursor_config: filename:.cursorignore
john-automates/st_con_crew_ai,https://github.com/john-automates/st_con_crew_ai,,cursor_config: filename:.cursorignore
parres-hq/whitenoise,https://github.com/parres-hq/whitenoise,Secure Messaging over Nostr,cursor_config: filename:.cursorignore
zkemail/archive.zk.email,https://github.com/zkemail/archive.zk.email,"A repository to store historical, timestamped DKIM keys; and for anyone to upload their own. Basically https://archive.org for public key registries.",cursor_config: filename:.cursorignore
Adam-Noble-01/WE10_--_Public-Repo_--_Live-Website,https://github.com/Adam-Noble-01/WE10_--_Public-Repo_--_Live-Website,"GitHub Sites With Noble Architecture Domain Hosting Complete Pages, Apps & Portals",cursor_config: filename:.cursorignore
nanikit/comic_sources,https://github.com/nanikit/comic_sources,tampermonkey comic viewers,cursor_config: filename:.cursorignore
microsoft/teams-agent-accelerator-templates,https://github.com/microsoft/teams-agent-accelerator-templates,A collection of templates integrating Microsoft Teams with various AI agent paradigms.,cursor_config: filename:.cursorignore
moseoh/blog-code-example,https://github.com/moseoh/blog-code-example,Blog 포스팅용 예제 코드,cursor_config: filename:.cursorignore
Altinity/clickhouse-grafana,https://github.com/Altinity/clickhouse-grafana,Altinity Grafana datasource plugin for ClickHouse®,cursor_config: filename:.cursorignore
